City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Tagab,AF,2020-09-30 00:01:37,34.85,69.65,60.8,76,40,4.7
154,Fairbanks,US,2020-09-30 00:00:17,64.84,-147.72,55.0,54,1,3.96
155,San Patricio,MX,2020-09-30 00:00:00,19.22,-104.7,87.8,70,75,5.82
156,Filadelfia,US,2020-09-30 00:01:08,39.95,-75.16,71.6,94,90,12.75
157,Avarua,CK,2020-09-30 00:01:37,-21.21,-159.78,78.8,78,23,25.28
158,Fortuna,US,2020-09-30 00:01:37,40.6,-124.16,68.0,64,1,11.41
159,Sola,VU,2020-09-30 00:01:38,-13.88,167.55,79.97,82,55,23.69
160,Nara,JP,2020-09-29 23:58:37,34.69,135.8,73.99,73,75,3.36
161,Ilebo,CD,2020-09-30 00:01:38,-4.32,20.58,69.03,96,47,1.12
162,Mar Del Plata,AR,2020-09-29 23:57:09,-38.0,-57.56,64.4,59,49,8.05
163,Saint-Augustin,CA,2020-09-30 00:01:39,51.23,-58.65,61.39,88,100,17.83
164,Asau,RO,2020-09-30 00:01:39,46.43,26.4,54.0,80,100,10.45
165,Cabo San Lucas,MX,2020-09-30 00:01:23,22.89,-109.91,91.0,62,5,11.41
166,Cidreira,BR,2020-09-30 00:01:39,-30.18,-50.21,63.36,83,63,19.19
167,Hambantota,LK,2020-09-30 00:01:39,6.12,81.12,79.32,79,100,17.78
168,Kenora,CA,2020-09-30 00:01:40,49.82,-94.43,60.01,71,75,6.93
169,Naryan-Mar,RU,2020-09-30 00:01:40,67.67,53.09,43.48,93,85,9.33
170,Kodiak,US,2020-09-30 00:01:40,57.79,-152.41,50.0,81,90,31.09
171,Ust-Uda,RU,2020-09-30 00:01:41,54.17,103.03,38.43,87,100,10.78
172,Colares,PT,2020-09-30 00:01:41,38.8,-9.45,66.0,66,100,18.23
173,Atbasar,KZ,2020-09-30 00:01:41,51.8,68.33,44.65,66,73,5.99
174,Kavieng,PG,2020-09-30 00:01:41,-2.57,150.8,84.09,69,68,5.99
175,Hovd,MN,2020-09-30 00:01:42,48.01,91.64,35.02,75,43,3.27
176,Airai,TL,2020-09-30 00:01:42,-8.93,125.41,73.0,44,100,4.92
177,Amga,RU,2020-09-30 00:01:42,60.9,131.96,41.16,70,54,4.76
178,Barquisimeto,VE,2020-09-29 23:58:29,10.07,-69.32,78.8,69,54,13.87
179,Umm Kaddadah,SD,2020-09-30 00:01:43,13.6,26.69,86.86,50,82,16.69
180,Eyl,SO,2020-09-30 00:01:43,7.98,49.82,77.0,82,60,14.41
181,Nanortalik,GL,2020-09-30 00:01:43,60.14,-45.24,35.71,77,0,20.69
182,Sorland,NO,2020-09-30 00:01:44,67.67,12.69,50.54,90,99,8.05
183,Rodrigues Alves,BR,2020-09-30 00:01:44,-7.74,-72.65,72.25,97,91,2.15
184,Makarov,RU,2020-09-30 00:01:44,48.63,142.8,59.22,59,0,2.98
185,Saint-Francois,FR,2020-09-30 00:01:45,46.42,3.91,52.0,100,81,5.82
186,Faanui,PF,2020-09-30 00:01:45,-16.48,-151.75,78.51,79,3,23.17
187,Pathein,MM,2020-09-30 00:01:45,16.78,94.73,76.55,95,52,3.22
