City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
606,Nalut,LY,88.47,broken clouds,30.33,10.85,
607,Tomatlan,MX,89.19,clear sky,19.93,-105.25,Norma franco
612,Jacmel,HT,87.8,scattered clouds,18.23,-72.53,Hotel Florita
613,Trairi,BR,79.27,overcast clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
615,Rio De Jesus,PA,76.69,light rain,7.98,-81.16,Finca El Mono
617,Abu Dhabi,AE,89.6,clear sky,24.47,54.37,Beach Rotana
619,San Pedro Buenavista,MX,78.8,overcast clouds,16.08,-93.12,
623,Padang,ID,77.41,overcast clouds,-0.95,100.35,Mercure Padang
627,Yaan,NG,76.53,scattered clouds,7.38,8.57,
631,Takoradi,GH,76.37,scattered clouds,4.88,-1.76,Raybow International Hotel
639,Naldurg,IN,75.16,overcast clouds,17.82,76.3,रामदेव होटल
640,San Vicente,AR,79.43,few clouds,-26.62,-54.13,Complejo Turístico Farelluk
642,Dickinson,US,82.0,clear sky,29.46,-95.05,Candlewood Suites League City
643,Samarai,PG,78.55,broken clouds,-10.62,150.67,Nuli Sapi
646,Pedernales,DO,82.4,broken clouds,18.04,-71.74,Hotel Costa Marina
648,Zaza Del Medio,CU,86.9,few clouds,22.0,-79.37,
650,Sabha,LY,86.86,overcast clouds,27.04,14.43,محطة ام الارانب -سبها مواصلات
652,Rock Sound,BS,83.5,overcast clouds,24.9,-76.2,Rock Sound Club
653,Alofi,NU,78.8,light intensity drizzle,-19.06,-169.92,Taloa Heights
662,Faanui,PF,78.24,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
664,Udankudi,IN,79.63,scattered clouds,8.43,78.02,"SRI ANANDHI TRADERS,UDANGUDI"
665,Shushtar,IR,80.67,clear sky,32.05,48.86,هتل تک ستاره
666,Araceli,PH,83.14,moderate rain,10.55,119.99,JBryan Traveler's Inn
668,Cururupu,BR,79.75,broken clouds,-1.83,-44.87,Pousada Través'cia
674,Ormara,PK,86.61,clear sky,25.21,64.64,
675,Buraydah,SA,80.6,clear sky,26.33,43.98,Mövenpick Hotel Qassim
677,Manaure,CO,82.04,overcast clouds,11.78,-72.44,Del mar vendra
683,Banjar,ID,78.8,scattered clouds,-8.19,114.97,The Hamsa Resort
684,Guarapari,BR,82.99,clear sky,-20.67,-40.5,Hotel Porto do Sol
687,Merauke,ID,78.76,overcast clouds,-8.47,140.33,
688,Gunjur,GM,82.4,thunderstorm,13.2,-16.73,Kuba Lodge
690,Nieves,PH,78.8,haze,15.33,120.95,Bill's Inn
691,Masakin,TN,75.0,scattered clouds,35.73,10.58,DAR EL ANDALOUS Guest house
693,Sesheke,ZM,78.8,scattered clouds,-17.48,24.3,Protea Hotel by Marriott Zambezi River Lodge
694,Port Blair,IN,80.89,light rain,11.67,92.75,Fortune Resort Bay Island
704,Jaicos,BR,89.04,overcast clouds,-7.36,-41.14,Hotel Jaicós
706,Baiao,BR,87.01,overcast clouds,-2.79,-49.67,Hotel Eurosono
709,Nanakuli,US,84.2,few clouds,21.39,-158.15,Camp Pālehua
717,Conde,BR,80.6,few clouds,-7.26,-34.91,Pousada Beija Flor
722,Berbera,SO,84.49,clear sky,10.44,45.01,Damal Hotel
725,Soyo,AO,76.26,overcast clouds,-6.13,12.37,Hotel Mpampa
